timestamp,tweet_text,username,all_hashtags,followers_count
2020-07-06 17:21:04,"Sub-saharan Africa 'just at the start' of its coronavirus outbreak, UK aid department warns https://t.co/oa6UX5ZwAp https://t.co/ggVTgjmnzK",PoliDigitalUK,[],376
2020-07-06 17:21:03,"Colorado receives 1,742 vials of emergency COVID-19 drug remdesivir https://t.co/XdKmsAn7mR",9NEWS,[],446668
2020-07-06 17:21:03,"NY Department of Health report says 37,500 nursing home staff were infected with COVID-19, igniting outbreaks that killed thousands. What to know https://t.co/mCCNyUExhd",PokJournal,[],47722
2020-07-06 17:21:03,@KathyAutumn @SaskiaPopescu @dan_diekema Oh look the World Health Organization says it is not airborne: https://t.co/tR4tDIQYK6,didymus77,[],345
2020-07-06 17:21:02,NO10 PRESS RELEASE: Majority of children no longer need to shield: The majority of children currently considered extremely clinical vulnerable to coronavirus (COVID-19) will be able to be removed from the shielded patient list. https://t.co/BttLBinWUo Via @mi6rogue,mi6rogue,[],24011
2020-07-06 17:21:00,Scientists claim the WHO is downplaying the virus’ airborne risk as U.S. COVID-19 cases top 2.8 million. https://t.co/jDcZRf1ZjN https://t.co/iRmB1N6KeR,CNBC,[],3685733
2020-07-06 17:20:55,"@lauren_amy93 Hi Lauren, thanks for making contact. We are dealing with applications but it will take longer than usual as we have less staff on site to comply with social distancing. Please bear with us. See https://t.co/ZelxoEWtpa for more information.   (1/2)",DVLAgovuk,[],60503
2020-07-06 17:20:48,"More than 5,000 patients likely contracted coronavirus after visiting a U.S. hospital for other reasons. It’s a problem that’s straining an already overwhelmed system. https://t.co/SI1oJKJS2C Iatrogenic infections are underreported generally, and for COVID-19.",AlephBlog,[],13451
2020-07-06 17:20:48,"There's a problem with #LiarInChief Johnson's philosophy that if you repeat a lie often enough it becomes the truth. It's that it doesn't work in a public enquiry. Or a courtroom.  These environments tend to be dogged by ""evidence"".  #COVIDー19 #carehomes  https://t.co/IhtqrP93KC",Roystonwarrior,"[u'LiarInChief', u'COVID\u30fc19', u'carehomes']",123
2020-07-06 17:20:42,Think a 'mild' case of Covid-19 doesn’t sound so bad? Think again | Adrienne Matei https://t.co/rFtzK13veD,TavistockTutor,[],130
2020-07-06 17:20:40,"#Coronavirus Total ""confirmed"" Cases in the #USA: #CoronaVirusUpdate Feb    15 - 15 April  27 - 1.000.000 June  07 - 2.000.000 July   06 - 3.000.000 #CoronavirusPandemic  #Covid_19 #COVIDー19 #CoronavirusUSA",ANTIYLH,"[u'Coronavirus', u'USA', u'CoronaVirusUpdate', u'CoronavirusPandemic', u'Covid_19', u'COVID\u30fc19', u'CoronavirusUSA']",6236
2020-07-06 17:20:39,"The highest number of deaths related to COVID-19 in 🇸🇪 as of July 3, 2020 was among individuals from 80 to 90 years old, where the number of deaths reached a total of 2,252. In total, 5,420 individuals in 🇸🇪 had suffered deaths related to Covid19. https://t.co/gfqaY6cQ2K",2dedostesta,[],74
2020-07-06 17:20:36,"Many of our I-ACT for Children research sites are on the front lines of COVID-19, treating children affected by the novel coronavirus and ready to test potential therapies once necessary adult data is available. Click below to learn more. https://t.co/44EedCnLWx https://t.co/uDp1PCggxp",IACTForChildren,[],117
2020-07-06 17:20:33,"Live updates: Elected officials blame rush to reopen as coronavirus cases hit record for 27th day  https://t.co/1ML6hJOA79   CAN'T FIX STUPID.  Arizona protesters rally against covid-19 restrictions As coronavirus cases continued to soar in Arizona, dozens of people gathered on",mpshiloh,[],107
2020-07-06 17:20:27,"Nick Cordero, Broadway actor who battled COVID-19, has died at age 41, wife says https://t.co/2XkII1dDe7 via @CBSNewsEnt",JnrPhotog,[],386
2020-07-06 17:20:24,Robert E. Rubin and I discuss the moral imperative for countries like the U.S. and Britain to help the developing world fight COVID-19 and avoid a humanitarian catastrophe in @nytimes. https://t.co/ki631h0FEK,DMiliband,[],281071
2020-07-06 17:20:21,🥺🥺You Seriously have to take care of your self I went from Working To Being in the Hospital for Preclampisa and I’m 34 weeks pregnant 🥺I’m overwhelmed I miss my Son and I Just Want to hug My Family All this Mess during the Covid 19😭 #pregnancy #coronavirus #ImissMyJacob,ShaeJace,"[u'pregnancy', u'coronavirus', u'ImissMyJacob']",30
2020-07-06 17:20:19,"Hospital traffic stalls as COVID-19 cases surge, analysts say https://t.co/gNapyGiLTo https://t.co/KbxQTtvnoC",stevekrohn,[],95113
2020-07-06 17:20:19,"Another 250 cases of #coronavirus infection were reported in #Romania on Monday, taking the total number of #Covid_19 contaminations to 29.233. 21,413 people have been discharged from hospital and 227 are in intensive care. The death toll stands at 1,768. https://t.co/9GFan3FwL4",RRInternational,"[u'coronavirus', u'Romania', u'Covid_19']",4018
2020-07-06 17:20:18,For more information on coronavirus and COVID-19 please visit: https://t.co/qRTwA3Vhiw   https://t.co/BRiPb1Zrb5   For more information on travel alerts please visit:   https://t.co/qf9mmh7MUy,realTrumpRallys,[],1248
2020-07-06 17:20:16,"Latest coronavirus updates  New cases xxx,xxx New deaths xxx,xxx Total cases xxx,xxx  These are the numbers I see everytime because they aren't real numbers.  WAKE UP! https://t.co/xPDZI52fQD",The_Insurgent_,[],6986
2020-07-06 17:20:12,"Rajasthan, Maharashtra, Punjab, Haryana, Odisha and MP have already announced the cancellation of exams in colleges and universities in the view of coronavirus (Covid-19) pandemic. The revised guidelines by the University Grants Commission (UGC) is expected to be issued soon.",Kanchan84529633,[],0
2020-07-06 17:20:11,"#Coronavirus can float in air and @WHO and @CDCgov   should tell people that, experts say.  #covid #COVIDー19 #Covid_19 #VirusCorona #COVID19Pandemic  @CNN @abcnews @NBCNews @CBS @MSNBC @BBCWorld   https://t.co/BSXmBaYLl3",s0cietysmirr0r,"[u'Coronavirus', u'covid', u'COVID\u30fc19', u'Covid_19', u'VirusCorona', u'COVID19Pandemic']",2
2020-07-06 17:20:11,"Read and Heed!  No more ""It's a Hoax"" games.  The average medical cost for treating a low-level case of Covid-19 is $14,000.00, and it can double, or triple if worse.  WEAR A MASK!!!  239 Experts With 1 Big Claim: The Coronavirus Is Airborne https://t.co/iPGFxkjeqx via @YahooNews",BDT93261637,[],598
2020-07-06 17:20:10,Residents in the far north (in which there have been 335 COVID-19 cases so far) don't have adequate health care facilities.  Many Saskatchewan First Nations residents are travelling hours to get coronavirus treatment | https://t.co/geTr4RujGO https://t.co/wjJ4AuOHaM,LWhitman_NWAC,[],797
2020-07-06 17:20:09,"China is the largest buyer of Brazilian pork, beef and chicken. It has requested that meat exporters globally certify their products are coronavirus free, which BRF, JBS, and other Brazilian meatpackers have already done. https://t.co/DunKNR7Vth",SuccessfulFarm,[],58185
2020-07-06 17:20:07,"https://t.co/iI8JplVENn ""disabled and chronically ill people will be intentionally passed over for medical care, and allowed to die of COVID-19 precisely because of our pre-existing disabilities or chronic illnesses"" #QAnons #COVIDIOTS #BlackDeath  #LGBTQ #GhislaineMaxwell",BeyondBroken11,"[u'QAnons', u'COVIDIOTS', u'BlackDeath', u'LGBTQ', u'GhislaineMaxwell']",9
2020-07-06 17:20:06,Here's what we’re doing — and what we need you to do — to prevent spread of COVID-19. https://t.co/tFgCoWHI5e https://t.co/LOC2fRJOPq,metrolosangeles,[],109290
2020-07-06 17:20:04,"The Louisiana Department of Health reported an increase of 1,101 new COVID-19 cases Monday, bringing the total of known cases to 66,327 statewide.  https://t.co/qzHEYrBdZ3",KTBS,[],47805
2020-07-06 17:20:03,"@ceybird Hello, updates about these subjects have been in our dedicated COVID-19 pages https://t.co/s5lTgv4UH5 ^JE",BrittanyFerries,[],33711
